Education,Education FOS
ISTA-IE,"AUTOMATISATION ET INSTRUMENTATION INDUSTRIELLE, technicien en technologie d'automatisation et électrique"
ISTA-IE Casa,Electromécanique des Systèmes Automatisé
ISTA-IE-,Électromécanique des systèmes automatisés
ISTAB,Computer Systems Networking and Telecommunications
ISTAM KENITRA,électromécanique des systèmes automatisés
ISTAM Kenitra,Developpement informatique
ISTC,Informatique
ISTEA,Comptabilité et commerce / gestion
ISTH FES,tourism management (DEESH)
ISTHT,Dts agence de voyages
ISTHT OFPPT,Comptabilité
ISTIA école d'ingénieurs -Université d'Angers,ingénierie des systèmes et management des projets
ISTICG,Audiovisuel : Montage
ISTL,"Logistique, SUPPLY CHAIN LOGISTICS"
ISTL (,logistique
ISTTC BERNOUSSI CASABLANCA,Agent de Méthodes
IT Learning Campus Université Hassan 1er,Management de projet
IT Support & Consulting,Qualité ISO 9001 V2015
IT Universite Hassan 1er,Licence professionnelle en développement Java EE.
ITG,Commerce international
ITHT Fès Anas « institut de technologie hôtelière et du tourisme»,Food and beverage
ITI Tanger,Supply Chain Management  ( SCM)  - Le  Management de la Chaine Logistique
ITSCJ - Institut Technique Sacré Coeur de Jésus,Série G2 《techniques quantitatives de Gestion》
ITSMAER,Management and control of water
ITSUP,"Design et communication visuelle, général"
IUP Clermont Ferrand,Management des organisation commerciales
IUP Management et Gestion des Entreprises de Clermont-Ferrand,Ingénierie des Ressources Humaines
IUT Paris Descartes,Techniques de Commercialisation
IUT de Saint Nazaire,Gestion des partenariats logistiques
IYF,Formation des Formateurs
Ibegis,"Marketing international, Commerce international"
Ibn Chouhaid,Sciences Mathématiques
Ibn Sina high school,Physical Sciences
Ibn Tofail University,"Language Interpretation and Translation, Creative art therapies and social change, Remote sensing GIS, Hydrology, Structural geology, Geomorphology, Quality & Software engineering, Logistique et Management, Economics -Trade Option-, English Linguistics, Studies of English Language & Culture, Teaching English as a Foreign Language, Geology / Environnement, Mathematics and Computer Science, In management and conduct of Industrial Projects, English Studies, Decision support and business intelligence, Economics and management, specialty : Commercial management and Marketing"
Ibn Tofail Université,Accounting and Financial Management
Ibn Tofail university,"Logistique et supply chain, Etudes Anglaise"
Ibn Tofeil university,PLANT PROTECTION
Ibn Toufail University,Nuclear technics & Radiation protection
Ibn Toumert High School,"Art/Art Studies, General"
Ibn Yassine High School,"Langue anglaise et littérature, général"
Ibn Zohr University (UIZ),Mathematics and Computer Science
Ibn aabad school,Sciences ex
Ibn al haytam,"Fine/Studio Arts, General"
Ibn baja,Lettre moderne
Ibn khaldoun high school el jadida,Humanities/Humanistic Studies
Ibn tofail,"Automatque informatique industriel, Banking, Corporate, Finance, and Securities Law"
IbnSina HighSchool,Economis and Management
Ibno Aarabi,Science physique chimie
Ibno Bajja High School,Literature and Humanities
Ibno al yassamine,science économique
Ibnou alyasamine,Physique et chimie
Ichec Brussels Management School,Innovation & Management Avancé
Idriss 1,Science general
Idriss first,Electrical and Electronics Engineering
Ifiag,Technologies de l''information
Ifj Sup,communication et journalisme  et media
Ifpass,Assurances
Iinstitut Spécialisé de Technologie Appliquée spécialité Technicien comptable des entreprises,Comptabilité
Illinois Wesleyan University,"(Marketing, Management, Finance)"
Imam Malik,Accounting Technology
"Incubateur de l'université Cadi Ayad , Marrakech",	Management et stratégie d’entreprise.
Indiana University - Kelley School of Business,Entrepreneuriat / études entrepreneuriales
InfoDesign,Digital Communication and Media/Multimedia
Ingénierie & Management Industriel,"Biologie, général"
Ingénieur Systéme et Réseau,Ingénierie informatique
Insitut spécialisé du cinéma et de l'audiovisuel (ISCA),Etudes cinématographiques et audiovisuelles
Insitute of Hotel Management,Réceptionniste
Instititut méditerranéen de la gouvernance,Gouvernance
Institu Technique Imame el ghazaly  BTS Tétouan,Technologie électromécanique des systeme automatisée / technologie d''ingénierie électromécanique
Institue Spécialisé de Technlogie Appliquée,Traveaux publiques
Institue Spécialisée de Technologie Appliquer - FES,software development
Institue Supérieur de gestion et d'informatique,Commerce international
Institue Supérieur de l'Information et Communicaion (ISIC),économie et management des médias
Institue spécialisé en gestion et informatique,Development informatique
Institut A.N.I.G Casablanca,Informática
Institut Agronomique Et Vétérinaire Hassan II,Food Industry
"Institut Agronomique Méditerranéen de Montpellier, FRANCE",Marketing
Institut Cervantes Casablanca,Estudios sobre comunicación y medios
Institut Confucius Casablanca,Chinese language
Institut De Formation  D'informatique Appliquee Et De Gestion (IFIAG),Commerce international
Institut Eco Triple A,Graphic Design
Institut El Khawarizmi,Technicienne en Informatique de Gestion
Institut Etudes Technologiques Professionnelles,Réseau et système d’information
Institut Eurecom - Sophia Antipolis,Telecommunication
Institut Français,"Didactique des Langues, La langue française"
Institut Français Maroc,Linguistique
Institut Français de Casablanca,"French Language, Test de Connaissances Français"
Institut Français de Rabat,French Language
Institut Français de l’Audit et du Contrôle Interne,Audit
Institut Friedrich Rueckert,Allemand ( Deutsche sprache )
Institut Marocain de Management,"Management Financier, Finance and Financial Management Services, stratégie et finances, Management Marketing"
Institut Marocain du Management,Management des Organisations
Institut National d'Aménagement et d'Urbanisme,"Aménagement et Urbanisme, Urbanisme, aménagement du territoire"
Institut National d'Aménagement et d'Urbanisme (INAU),"Urbanisme, aménagement"
Institut National de Statistique et d'Economie Appliquée(INSEA),Transport et Logistique
Institut National de l'Action sociale de Tanger,Marketing communication et gestion commerciale
Institut National des Statistiques et d'Economie Appliquée (INSEA),Informatique
Institut National des statistiques et d'économie Appliquées,Informatique
Institut Noble de Gestion et d'informatique,Gestion des entreprises
Institut PIMAS,Systèmes et réseaux informatique
Institut Polytechnique privée de Casablanca,génie électrique
Institut Polyvalence,Développement informatique
Institut Professionnel IPIAB,Informatique
Institut Professionnel Privé d'Informatique Allal BenAbedellah,technicien spécialisé en génie electromecanique des systemes automatises
Institut Professionnel d'Informatique. IPI,analyste-programmeur de systèmes informatiques
Institut Royal de Formation des Cadres (IRFC),L'entrainement sportif
Institut Royal de l'Administration Territoriale,Administration Territoriale
Institut Soft de génie civil,Bâtiment et travaux publics
Institut Specialise Tchnologie D'aplique Ben M'SIk,Developpement informatique
Institut Specialise d' Arts Graphique,Graphic Design
Institut Specialise of Technologie Appliquee,mechanical
Institut Specialisé de Technologie Appliquee Hay Hassani 1 casablanca,Comptabilité et commerce / gestion
Institut Specialisé de Technologie Appliquée,hebergement
Institut Spécialise Dans Les Métiers De L’Offshoring - Tetouan,Administration de base de donnée
Institut Spécialise de Technologie Appliquée NTIC (CFMOTI),"Programmation / développeur informatique, général"
Institut Spécialisé De Technologie Appliquée,Ingénierie mécanique
Institut Spécialisé De Technologie Appliquée Inter Entreprises,MMOAMPA
Institut Spécialisé De Technologie Appliquée Polo Casablanca,"Programmation / développeur informatique, général"
Institut Spécialisé Industriel,Secteur d'automobile
Institut Spécialisé Industriel Mohammedia,"Electromécanique des systèmes automatisé, Electricité de Maintenence Industrielle"
Institut Spécialisé Industriel de Marrakech,maintenance des systèmes automatisés
Institut Spécialisé aux Technologies Appliquées,Gestion des Entreprises
Institut Spécialisé dans les Métiers de Transport Routier Tanger,Transport et de la Logistique
Institut Spécialisé dans les Métiers de l'Offshoring et les Nouvelles Technologies de l'information,Technique / technicien et assistant en photographie et vidéo
"Institut Spécialisé dans les Métiers de l'Offshoring, des TIC et de l'Audiovisuel.",Management de projet
"Institut Spécialisé dans les Métiers du Cinéma, Ouarzazate",Effets Spéciaux
Institut Spécialisé dans les Technologies. NTIC Sidi Youssef Ben Ali Marrakech.,Développement  Informatique
Institut Spécialisé dans les métiers de Transport Routier Agadir (OFPPT),-
Institut Spécialisé dans les métiers de l’automobile/salé,Génie industriel
Institut Spécialisé de Gestion et d'Informatique Laâyoune,Informatique
Institut Spécialisé de Gestion et d’Informatique,Techniques de développement Informatique
Institut Spécialisé de Gestion et d’Informatique (ISGI),Développement informatique
Institut Spécialisé de Technologie Appliquer,DÉVELOPPEMENT INFORMATIQUE
Institut Spécialisé de Technologie Appliquée,"Systèmes et Réseaux Informatiques, Développement Informatique, Centre de Relation Clientèle (CRC), Informatique, Administration et gestion des affaires, général, Infographie, Assistant administratif et techniques de secrétariat, général, Gestion des Entreprises, Système d'information, Commerce international / commerce, Mise en réseau de systèmes informatiques et télécommunications, Gestion des entreprises, Génie civil, Techniques de Développement Informatique, Technologie industrielle / technicien industriel, Économie de gestion, Comptabilité et finance, assistante de direction, Bureau d'Etudes en Construction Métallique, Électromécanique des systèmes automatisés"
Institut Spécialisé de Technologie Appliquée  Hôtelière et Touristique de Marrakech,Legal Administrative Assistant/Secretary
Institut Spécialisé de Technologie Appliquée  POLO,Informatique
Institut Spécialisé de Technologie Appliquée (cfmoti),Technologie / technicien en informatique
Institut Spécialisé de Technologie Appliquée - Hay Riad - Rabat,Réseaux Informatiques
Institut Spécialisé de Technologie Appliquée Al Adarissa,"Vente, distribution et opérations de marketing général"
Institut Spécialisé de Technologie Appliquée EL HANK,Administration de / administrateur réseaux et systèmes
Institut Spécialisé de Technologie Appliquée Inter-Entreprise,"Automatisation et instrumentation industriel, Électromécanique des Systèmes Automatisés, diagnostic et électronique embarqué automobile"
Institut Spécialisé de Technologie Appliquée NTIC- Hay Riad,Technologie / technicien en informatique
Institut Spécialisé de Technologie Appliquée Settat,Industrie
Institut Spécialisé de Technologie Appliquée de Gestion Sidi Moumen-Casablanca,Réseaux Informatiques
Institut Spécialisé de Technologie Appliquée de Mohammedia,Développement Informatique; Sciences de la matière physique; Sciences Physiques et Chimiques
Institut Spécialisé de Technologie Appliquée de Tanger,"Programmation / développeur informatique, général"
Institut Spécialisé de Technologie Appliquée de tourisme et d'hôtellerie,Hospitality Administration/Management
Institut Spécialisé de Technologie Appliquée route Sebta,Comptabilité
"Institut Spécialisé de Technologie Appliquée, Marrakech",Techniques des réseaux informatiques
Institut Spécialisé de Technologie Appliquée-Mohammedia,Gestion Des Entreprises
Institut Spécialisé de Technologie appliquée HH1,"Programmation / développeur informatique, général"
Institut Spécialisé de Technologies Appliquées,Techniques des Réseaux Informatiques
Institut Spécialisé de l'Hôtellerie et de la Restauration,"Cuisine et arts culinaires apparentés, général"
